Object Type;Object Name;Data Source;Time Period;Category;Data Item;Statistic Type;Value
ModelEntity;Car;[Population];Run;Content;NumberInSystem;Average;1
ModelEntity;Car;[Population];Run;Content;NumberInSystem;Maximum;1
ModelEntity;Car;[Population];Run;Content;NumberInSystem;Minimum;0
ModelEntity;Car;[Population];Run;FlowTime;TimeInSystem;Average;0,0421919014084504
ModelEntity;Car;[Population];Run;FlowTime;TimeInSystem;Maximum;0,0538055555555554
ModelEntity;Car;[Population];Run;FlowTime;TimeInSystem;Minimum;0,023611111111111
ModelEntity;Car;[Population];Run;FlowTime;TimeInSystem;Observations;284
ModelEntity;Car;[Population];Run;Throughput;NumberCreated;Total;285
ModelEntity;Car;[Population];Run;Throughput;NumberDestroyed;Total;284
Server;01_Crossing_RioClaro;InputBuffer;Run;Throughput;NumberEntered;Total;285
Server;01_Crossing_RioClaro;InputBuffer;Run;Throughput;NumberExited;Total;285
Server;01_Crossing_RioClaro;OutputBuffer;Run;Throughput;NumberEntered;Total;285
Server;01_Crossing_RioClaro;OutputBuffer;Run;Throughput;NumberExited;Total;285
Server;01_Crossing_RioClaro;Processing;Run;Content;NumberInStation;Average;0,165627314816868
Server;01_Crossing_RioClaro;Processing;Run;Content;NumberInStation;Maximum;1
Server;01_Crossing_RioClaro;Processing;Run;Content;NumberInStation;Minimum;0
Server;01_Crossing_RioClaro;Processing;Run;HoldingTime;TimeInStation;Average;0,0069737816764997
Server;01_Crossing_RioClaro;Processing;Run;HoldingTime;TimeInStation;Maximum;0,0152777777777767
Server;01_Crossing_RioClaro;Processing;Run;HoldingTime;TimeInStation;Minimum;0
Server;01_Crossing_RioClaro;Processing;Run;Throughput;NumberEntered;Total;285
Server;01_Crossing_RioClaro;Processing;Run;Throughput;NumberExited;Total;285
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;ScheduledUtilization;Percent;16,5627314816868
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsAllocated;Total;285
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsUtilized;Average;0,165627314816868
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeProcessing;Average;0,00776378038204068
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeProcessing;Occurrences;256
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeProcessing;Percent;16,5627314816868
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeProcessing;Total;1,98752777780241
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeStarved;Average;0,0389590358840373
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeStarved;Occurrences;257
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeStarved;Percent;83,4372685183132
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeStarved;Total;10,0124722221976
Server;02_Crossing_Anhanguera;InputBuffer;Run;Throughput;NumberEntered;Total;285
Server;02_Crossing_Anhanguera;InputBuffer;Run;Throughput;NumberExited;Total;285
Server;02_Crossing_Anhanguera;OutputBuffer;Run;Throughput;NumberEntered;Total;284
Server;02_Crossing_Anhanguera;OutputBuffer;Run;Throughput;NumberExited;Total;284
Server;02_Crossing_Anhanguera;Processing;Run;Content;NumberInStation;Average;0,0725347222212003
Server;02_Crossing_Anhanguera;Processing;Run;Content;NumberInStation;Maximum;1
Server;02_Crossing_Anhanguera;Processing;Run;Content;NumberInStation;Minimum;0
Server;02_Crossing_Anhanguera;Processing;Run;HoldingTime;TimeInStation;Average;0,00305359937397956
Server;02_Crossing_Anhanguera;Processing;Run;HoldingTime;TimeInStation;Maximum;0,0112500000000029
Server;02_Crossing_Anhanguera;Processing;Run;HoldingTime;TimeInStation;Minimum;0
Server;02_Crossing_Anhanguera;Processing;Run;Throughput;NumberEntered;Total;285
Server;02_Crossing_Anhanguera;Processing;Run;Throughput;NumberExited;Total;284
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;ScheduledUtilization;Percent;7,25347222212003
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsAllocated;Total;285
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsUtilized;Average;0,0725347222212003
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
