Object Type;Object Name;Data Source;Time Period;Category;Data Item;Statistic Type;Value
ModelEntity;Car;[Population];Run;Content;NumberInSystem;Average;1
ModelEntity;Car;[Population];Run;Content;NumberInSystem;Maximum;1
ModelEntity;Car;[Population];Run;Content;NumberInSystem;Minimum;0
ModelEntity;Car;[Population];Run;FlowTime;TimeInSystem;Average;0,0203653555932845
ModelEntity;Car;[Population];Run;FlowTime;TimeInSystem;Maximum;0,026277777777779
ModelEntity;Car;[Population];Run;FlowTime;TimeInSystem;Minimum;0,0174166666666657
ModelEntity;Car;[Population];Run;FlowTime;TimeInSystem;Observations;589
ModelEntity;Car;[Population];Run;Throughput;NumberCreated;Total;590
ModelEntity;Car;[Population];Run;Throughput;NumberDestroyed;Total;589
Server;01_Crossing_RioClaro;InputBuffer;Run;Throughput;NumberEntered;Total;590
Server;01_Crossing_RioClaro;InputBuffer;Run;Throughput;NumberExited;Total;590
Server;01_Crossing_RioClaro;OutputBuffer;Run;Throughput;NumberEntered;Total;590
Server;01_Crossing_RioClaro;OutputBuffer;Run;Throughput;NumberExited;Total;590
Server;01_Crossing_RioClaro;Processing;Run;Content;NumberInStation;Average;0,144731481481491
Server;01_Crossing_RioClaro;Processing;Run;Content;NumberInStation;Maximum;1
Server;01_Crossing_RioClaro;Processing;Run;Content;NumberInStation;Minimum;0
Server;01_Crossing_RioClaro;Processing;Run;HoldingTime;TimeInStation;Average;0,00294369114877609
Server;01_Crossing_RioClaro;Processing;Run;HoldingTime;TimeInStation;Maximum;0,00886111111111276
Server;01_Crossing_RioClaro;Processing;Run;HoldingTime;TimeInStation;Minimum;0
Server;01_Crossing_RioClaro;Processing;Run;Throughput;NumberEntered;Total;590
Server;01_Crossing_RioClaro;Processing;Run;Throughput;NumberExited;Total;590
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;ScheduledUtilization;Percent;14,4731481481491
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsAllocated;Total;590
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsUtilized;Average;0,144731481481491
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;01_Crossing_RioClaro;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeProcessing;Average;0,0088611111111117
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeProcessing;Occurrences;196
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeProcessing;Percent;14,4731481481491
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeProcessing;Total;1,73677777777789
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeStarved;Average;0,0520975747320919
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeStarved;Occurrences;197
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeStarved;Percent;85,5268518518509
Server;01_Crossing_RioClaro;[Resource];Run;ResourceState;TimeStarved;Total;10,2632222222221
Server;02_Crossing_Anhanguera;InputBuffer;Run;Throughput;NumberEntered;Total;590
Server;02_Crossing_Anhanguera;InputBuffer;Run;Throughput;NumberExited;Total;590
Server;02_Crossing_Anhanguera;OutputBuffer;Run;Throughput;NumberEntered;Total;590
Server;02_Crossing_Anhanguera;OutputBuffer;Run;Throughput;NumberExited;Total;590
Server;02_Crossing_Anhanguera;Processing;Run;Throughput;NumberEntered;Total;590
Server;02_Crossing_Anhanguera;Processing;Run;Throughput;NumberExited;Total;590
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;ScheduledUtilization;Percent;0
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsAllocated;Total;590
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsScheduled;Average;1
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsScheduled;Maximum;1
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsScheduled;Minimum;1
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsUtilized;Average;0
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsUtilized;Maximum;1
Server;02_Crossing_Anhanguera;[Resource];Run;Capacity;UnitsUtilized;Minimum;0
Server;02_Crossing_Anhanguera;[Resource];Run;ResourceState;TimeStarved;Average;12
Server;02_Crossing_Anhanguera;[Resource];Run;ResourceState;TimeStarved;Occurrences;1
Server;02_Crossing_Anhanguera;[Resource];Run;ResourceState;TimeStarved;Percent;100
Server;02_Crossing_Anhanguera;[Resource];Run;ResourceState;TimeStarved;Total;12
Server;03_Crossing_RuiBarbosa;InputBuffer;Run;Throughput;NumberEntered;Total;589
Server;03_Crossing_RuiBarbosa;InputBuffer;Run;Throughput;NumberExited;Total;589
Server;03_Crossing_RuiBarbosa;OutputBuffer;Run;Throughput;NumberEntered;Total;589
